cluster_id,cluster_size,classification_type,identity,representative_seqid,blast_quality,predicted_otu,pred_domain,pred_kingdom,pred_phylum,pred_class,pred_order,pred_family,pred_genus,pred_species
602,3,known_species,100.0,MG253163.1,good,Amage sculpta,Eukaryota,Opisthokonta,Annelida,Polychaeta,,,Amage,Amage sculpta
603,3,known_species,100.0,AF411276.1,good,Bodomorpha minima,Eukaryota,,Sar,,,,Bodomorpha,Bodomorpha minima
604,4,known_species,100.0,AJ287531.1,good,Microphallus fusiformis,Eukaryota,Opisthokonta,Platyhelminthes,Trematoda,,,Microphallus,Microphallus fusiformis
605,3,known_species,100.0,AB016291.1,good,Rhodotorula glutinis,Eukaryota,Opisthokonta,Basidiomycota,,,,Rhodotorula,Rhodotorula glutinis
606,5,known_species,100.0,KC142322.1,good,Galloisiana yezoensis,,,,,,,Galloisiana,Galloisiana yezoensis
607,6,known_species,100.0,AY490221.1,good,Bodo celer,Eukaryota,Discoba,,,,,Bodo,Bodo celer
608,11,known_species,100.0,AJ287540.1,good,Microcotyle sebastis,Eukaryota,Opisthokonta,Platyhelminthes,,,,Microcotyle,Microcotyle sebastis
609,4,known_species,100.0,HG425174.1,good,Herpetomonas ztiplika,Eukaryota,Discoba,,,,,Herpetomonas,Herpetomonas ztiplika
610,2,known_species,100.0,FJ628363.1,good,Hicanonectes teleskopos,Eukaryota,Metamonada,,,,,Hicanonectes,Hicanonectes teleskopos
611,2,known_species,100.0,KY016834.1,good,Waitkera waitakerensis,Eukaryota,Opisthokonta,Arthropoda,Arachnida,,,Waitkera,Waitkera waitakerensis
612,5,known_species,100.0,MF077732.1,good,Chondracanthus merluccii,Eukaryota,Opisthokonta,Arthropoda,,,,Chondracanthus,Chondracanthus merluccii
613,2,known_species,100.0,EU082401.1,good,Conchoderma auritum,Eukaryota,Opisthokonta,Arthropoda,,,,Conchoderma,Conchoderma auritum
614,3,known_species,100.0,FR837732.1,good,Philocelis brueggemanni,Eukaryota,Opisthokonta,,,,,Philocelis,Philocelis brueggemanni
615,2,known_species,100.0,KT304840.1,good,Lepocinclis spirogyroides,,,,,,,Lepocinclis,Lepocinclis spirogyroides
616,4,known_species,100.0,JF903677.1,good,Trypanosyllis zebra,Eukaryota,Opisthokonta,Annelida,Polychaeta,,,Trypanosyllis,Trypanosyllis zebra
617,2,known_species,100.0,KY016567.1,good,Oecobius cellariorum,Eukaryota,Opisthokonta,Arthropoda,Arachnida,,,Oecobius,Oecobius cellariorum
618,3,known_species,100.0,JX442171.1,good,Arhythmorhynchus brevis,Eukaryota,Opisthokonta,,,,,Arhythmorhynchus,Arhythmorhynchus brevis
619,2,known_species,100.0,AJ287557.1,good,Paucivitellosus fragilis,Eukaryota,Opisthokonta,Platyhelminthes,Trematoda,,,Paucivitellosus,Paucivitellosus fragilis
620,3,known_species,100.0,KT033424.1,good,Pleuronema binucleatum,Eukaryota,,Sar,Intramacronucleata,,,Pleuronema,Pleuronema binucleatum
621,2,known_species,100.0,AJ007275.1,good,Cyanoptyche gloeocystis,Eukaryota,Glaucocystophyceae,,,,,Cyanoptyche,Cyanoptyche gloeocystis
622,2,known_species,100.0,JN619054.1,good,Thinonoma atra,Eukaryota,Opisthokonta,Arthropoda,Insecta,Coleoptera,,Thinonoma,Thinonoma atra
623,2,known_species,100.0,AB564607.1,good,Scolecobasidium humicola,Eukaryota,Opisthokonta,Ascomycota,Dothideomycetes,,,Scolecobasidium,Scolecobasidium humicola
624,3,known_species,100.0,KR856136.1,good,Polystomoides tunisiensis,Eukaryota,Opisthokonta,Platyhelminthes,,,,Polystomoides,Polystomoides tunisiensis
625,2,known_species,100.0,JN368226.1,good,Sebacina candida,Eukaryota,Opisthokonta,Basidiomycota,Agaricomycetes,,,Sebacina,Sebacina candida
626,3,known_species,100.0,AY284695.1,good,Theristus agilis,Eukaryota,Opisthokonta,Nematoda,,,,Theristus,Theristus agilis
627,7,known_species,100.0,EU273597.1,good,Oscheius chongmingensis,Eukaryota,Opisthokonta,Nematoda,,,,Oscheius,Oscheius chongmingensis
628,2,known_species,100.0,AF352084.1,good,Panorbis viscosus,,,,,,,Panorbis,Panorbis viscosus
629,2,known_species,100.0,KY652215.1,good,Macrostomum quiritium,Eukaryota,Opisthokonta,Platyhelminthes,,,,Macrostomum,Macrostomum quiritium
630,3,known_species,100.0,KC875226.1,good,Sheraphelenchus entomophagus,Eukaryota,Opisthokonta,Nematoda,,,,Japanema,Sheraphelenchus entomophagus
631,2,known_species,100.0,KP144396.1,good,Stygiella agilis,Eukaryota,Discoba,,,,,Stygiella,Stygiella agilis
632,2,known_species,100.0,HM536165.1,good,Nucleocercomonas praelonga,Eukaryota,,Sar,,,,Nucleocercomonas,Nucleocercomonas praelonga
633,2,known_species,100.0,AY184343.2,good,Dione arcuata,Eukaryota,,Rhodophyta,,,,Dione,Dione arcuata
634,3,known_species,100.0,KT030813.1,good,Trypanosoma wauwau,Eukaryota,Discoba,,,,,Trypanosoma,Trypanosoma wauwau
635,2,known_species,100.0,MH029284.1,good,Laciniporus arabicus,Eukaryota,,Sar,,,,Laciniporus,Laciniporus arabicus
636,2,known_species,100.0,KY271651.1,good,Goniochloris mutica,Eukaryota,,Sar,,,,Goniochloris,Goniochloris mutica
637,2,known_species,100.0,KP970226.1,good,Blepharisma japonicum,Eukaryota,,Sar,,,,Blepharisma,Blepharisma japonicum
638,2,known_species,100.0,KX069014.1,good,Arixenia esau,Eukaryota,Opisthokonta,Arthropoda,Insecta,,,Arixenia,Arixenia esau
639,2,known_species,100.0,EF202877.1,good,Gambierdiscus belizeanus,,,,,,,Gambierdiscus,Gambierdiscus belizeanus
640,2,known_species,100.0,AY070122.1,good,Pholas dactylus,,,,,,,Pholas,Pholas dactylus
641,2,known_species,100.0,AF207019.1,good,Securidaca diversifolia,Eukaryota,Viridiplantae,Streptophyta,,,,Securidaca,Securidaca diversifolia
642,2,known_species,100.0,AB863027.1,good,Amphidinium gibbosum,Eukaryota,,Sar,,,,Amphidinium,Amphidinium gibbosum
643,4,known_species,100.0,FM244861.1,good,Doliolum denticulatum,Eukaryota,Opisthokonta,Chordata,,,,Doliolum,Doliolum denticulatum
644,4,known_species,100.0,KY016851.1,good,Diores femoralis,Eukaryota,Opisthokonta,Arthropoda,Arachnida,,,Diores,Diores femoralis
645,4,known_species,100.0,KX866795.1,good,Cliona viridis,Eukaryota,Opisthokonta,Porifera,,,,Cliona,Cliona viridis
646,4,known_species,100.0,AJ287520.1,good,Haematoloechus longiplexus,Eukaryota,Opisthokonta,Platyhelminthes,Trematoda,,,Haematoloechus,Haematoloechus longiplexus
647,3,known_species,100.0,KX519761.1,good,Parvilucifera corolla,Eukaryota,,Sar,,,,Parvilucifera,Parvilucifera corolla
648,2,known_species,100.0,KM887954.1,good,Zoothamnium grossi,Eukaryota,,Sar,Intramacronucleata,,,Zoothamnium,Zoothamnium grossi
649,2,known_species,100.0,FJ766478.1,good,Schizoplasmodiopsis amoeboidea,,,,,,,Schizoplasmodiopsis,Schizoplasmodiopsis amoeboidea
650,2,known_species,100.0,AF188367.1,good,Polypterus senegalus,Eukaryota,Opisthokonta,Chordata,Actinopterygii,,,Polypterus,Polypterus senegalus
651,2,known_species,100.0,AY596356.1,good,Eosentomon communis,Eukaryota,Opisthokonta,Arthropoda,,,,Eosentomon,Eosentomon communis
652,3,known_species,100.0,AF368518.1,good,Furia neopyralidarum,Eukaryota,Opisthokonta,,,,,Furia,Furia neopyralidarum
653,3,known_species,100.0,FN552017.1,good,Amphiscolops potocani,Eukaryota,Opisthokonta,,,,,Amphiscolops,Amphiscolops potocani
654,2,known_species,100.0,JQ907242.1,good,Odontembia jacobi,Eukaryota,Opisthokonta,Arthropoda,Insecta,,,Odontembia,Odontembia jacobi
655,3,known_species,100.0,KM486150.1,good,Malkara loricata,Eukaryota,Opisthokonta,Arthropoda,Arachnida,,,Malkara,Malkara loricata
656,2,known_species,100.0,AF013152.1,good,Schmidtea polychroa,Eukaryota,Opisthokonta,Platyhelminthes,,,,Schmidtea,Schmidtea polychroa
657,2,known_species,100.0,LC052379.1,good,Aonchotheca musimon,Eukaryota,Opisthokonta,Nematoda,,,,Aonchotheca,Aonchotheca musimon
658,2,known_species,100.0,FN825898.2,good,Acaulospora brasiliensis,,,,,,,Acaulospora,Acaulospora brasiliensis
659,4,known_species,100.0,KU848238.1,good,Spirostomum minus,,,,,,,Spirostomum,Spirostomum minus
660,3,known_species,100.0,KY682876.1,good,Crouania mucosa,Eukaryota,,Rhodophyta,Florideophyceae,,,Crouania,Crouania mucosa
661,4,known_species,100.0,AB261520.1,good,Protoperidinium thulesense,,,,,,,Protoperidinium,Protoperidinium thulesense
662,2,known_species,100.0,KC513023.1,good,Thrips simplex,Eukaryota,Opisthokonta,Arthropoda,Insecta,,,Thrips,Thrips simplex
663,5,known_species,100.0,KJ887416.1,good,Ptyalorhynchus coecus,Eukaryota,Opisthokonta,Platyhelminthes,,,,Ptyalorhynchus,Ptyalorhynchus coecus
664,3,known_species,100.0,JF264840.1,good,Lankesteria cystodytae,,,,,,,Lankesteria,Lankesteria cystodytae
665,3,known_species,100.0,GQ872428.1,good,Orborhabdostyla bromelicola,Eukaryota,,Sar,Intramacronucleata,,,Orborhabdostyla,Orborhabdostyla bromelicola
666,2,known_species,100.0,KF268454.1,good,Phallusia fumigata,,,,,,,Phallusia,Phallusia fumigata
667,3,known_species,100.0,MF190552.1,good,Pigoraptor vietnamica,Eukaryota,Opisthokonta,,,,,Pigoraptor,Pigoraptor vietnamica
668,2,known_species,100.0,GQ340975.1,good,Henneguya tunisiensis,Eukaryota,Opisthokonta,Cnidaria,,,,Henneguya,Henneguya tunisiensis
669,4,known_species,100.0,AF534770.1,good,Begonia isoptera,Eukaryota,Viridiplantae,Streptophyta,,,,Begonia,Begonia isoptera
670,3,known_species,100.0,AF519248.1,good,Phascolion strombus,Eukaryota,Opisthokonta,Annelida,,,,Phascolion,Phascolion strombus
671,4,known_species,100.0,EF036539.1,good,Symbiodinium goreaui,Eukaryota,,Sar,,,,Symbiodinium,Symbiodinium goreaui
672,4,known_species,100.0,EU683137.1,good,Discocoris drakei,Eukaryota,Opisthokonta,Arthropoda,Insecta,Hemiptera,,Discocoris,Discocoris drakei
673,3,known_species,100.0,JF900488.1,good,Meioglossus psammophilus,Eukaryota,Opisthokonta,,,,,Meioglossus,Meioglossus psammophilus
674,4,known_species,100.0,AY071794.1,good,Aspidytes niobe,Eukaryota,Opisthokonta,Arthropoda,Insecta,Coleoptera,,Aspidytes,Aspidytes niobe
675,5,known_species,100.0,AM774520.1,good,Cerastoderma edule,Eukaryota,Opisthokonta,Mollusca,Bivalvia,,,Cerastoderma,Cerastoderma edule
676,2,known_species,100.0,FJ749926.1,good,Leptusa kitazawai,Eukaryota,Opisthokonta,Arthropoda,Insecta,Coleoptera,,Leptusa,Leptusa kitazawai
677,9,known_species,100.0,KX036713.1,good,Crusticorallina painei,Eukaryota,,Rhodophyta,Florideophyceae,,,Crusticorallina,Crusticorallina painei
678,2,known_species,100.0,AB287984.1,good,Myconymphaea yatsukahoi,Eukaryota,Opisthokonta,,,,,Myconymphaea,Myconymphaea yatsukahoi
679,5,known_species,100.0,JF791038.1,good,Rhizosolenia similoides,Eukaryota,,Sar,,,,Rhizosolenia,Rhizosolenia similoides
680,3,known_species,100.0,KP868771.1,good,Rurikoplites armatus,Eukaryota,,Sar,Intramacronucleata,,,Rurikoplites,Rurikoplites armatus
681,5,known_species,100.0,KJ451388.1,good,Kudoa islandica,Eukaryota,Opisthokonta,Cnidaria,,,,Kudoa,Kudoa islandica
682,3,known_species,100.0,KY682879.1,good,Branchioglossum bipinnatifidum,Eukaryota,,Rhodophyta,Florideophyceae,,,Branchioglossum,Branchioglossum bipinnatifidum
683,2,known_species,100.0,KX776451.1,good,Brachonella contorta,Eukaryota,,Sar,Intramacronucleata,,,Brachonella,Brachonella contorta
684,3,known_species,100.0,DQ822483.1,good,Condylostoma spatiosum,Eukaryota,,Sar,,,,Condylostoma,Condylostoma spatiosum
685,2,known_species,100.0,AB181885.1,good,Protoperidinium conicum,,,,,,,Protoperidinium,Protoperidinium conicum
686,2,known_species,100.0,AF352076.1,good,Magnisphaera spartinae,Eukaryota,Opisthokonta,Ascomycota,Sordariomycetes,,,Magnisphaera,Magnisphaera spartinae
687,2,known_species,100.0,MF278670.1,good,Pseudotrichonympha aurea,,,,,,,Pseudotrichonympha,Pseudotrichonympha aurea
688,3,known_species,100.0,KC429338.1,good,Ctenoides scaber,Eukaryota,Opisthokonta,Mollusca,Bivalvia,,,Ctenoides,Ctenoides scaber
689,6,known_species,100.0,AY937326.1,good,Praya dubia,Eukaryota,Opisthokonta,Cnidaria,,,,Praya,Praya dubia
690,2,known_species,100.0,DQ538500.1,good,Dissonus manteri,Eukaryota,Opisthokonta,Arthropoda,,,,Dissonus,Dissonus manteri
691,3,known_species,100.0,JX401239.1,good,Licmophora grandis,,,,,,,Licmophora,Licmophora grandis
692,3,known_species,100.0,KJ591553.1,good,Hypotrichomonas osmaniae,Eukaryota,Metamonada,,,,,Hypotrichomonas,Hypotrichomonas osmaniae
693,4,known_species,100.0,KF751599.1,good,Madanidinium loirii,Eukaryota,,Sar,,,,Madanidinium,Madanidinium loirii
694,2,known_species,100.0,EU815284.1,good,Semidalis vicina,Eukaryota,Opisthokonta,Arthropoda,Insecta,,,Semidalis,Semidalis vicina
695,3,known_species,100.0,AB712518.1,good,Femsjonia peziziformis,Eukaryota,Opisthokonta,Basidiomycota,,,,Femsjonia,Femsjonia peziziformis
696,2,known_species,100.0,DQ925304.1,good,Anonchocephalus chilensis,Eukaryota,Opisthokonta,Platyhelminthes,Cestoda,,,Anonchocephalus,Anonchocephalus chilensis
697,2,known_species,100.0,AY157184.1,good,Psettarium nolani,Eukaryota,Opisthokonta,Platyhelminthes,Trematoda,,,Psettarium,Psettarium nolani
698,2,known_species,100.0,FR837691.1,good,Daku woorimensis,Eukaryota,Opisthokonta,,,,,Daku,Daku woorimensis
699,2,known_species,100.0,AY532366.1,good,Scoloplos acmeceps,Eukaryota,Opisthokonta,Annelida,Polychaeta,,,Scoloplos,Scoloplos acmeceps
700,2,known_species,100.0,FJ865206.1,good,Acineta tuberosa,Eukaryota,,Sar,Intramacronucleata,,,Acineta,Acineta tuberosa
701,4,known_species,100.0,AY012384.1,good,Hydriastele pinangoides,Eukaryota,Viridiplantae,Streptophyta,,,,Hydriastele,Hydriastele pinangoides
702,4,known_species,100.0,AF069208.1,good,Cypripedium calceolus,Eukaryota,Viridiplantae,Streptophyta,,,,Cypripedium,Cypripedium calceolus
703,2,known_species,100.0,KC429403.1,good,Donacilla cornea,Eukaryota,Opisthokonta,Mollusca,Bivalvia,,,Donacilla,Donacilla cornea
704,3,known_species,100.0,AF042486.1,good,Macropodinium yalabense,Eukaryota,,Sar,Intramacronucleata,,,Macropodinium,Macropodinium yalabense
705,3,known_species,100.0,EU103618.1,good,Euplotes aediculatus,,,,,,,Euplotes,Euplotes aediculatus
706,2,known_species,100.0,LC222305.1,good,Ataxiodinium choane,Eukaryota,,Sar,,,,Ataxiodinium,Ataxiodinium choane
707,3,known_species,100.0,AF168859.1,good,Mayaca fluviatilis,Eukaryota,Viridiplantae,Streptophyta,,,,Mayaca,Mayaca fluviatilis
708,2,known_species,100.0,GU125758.1,good,Phoronis ovalis,Eukaryota,Opisthokonta,,,,,Phoronis,Phoronis ovalis
709,2,known_species,100.0,FJ468488.1,good,Henneguya pellis,Eukaryota,Opisthokonta,Cnidaria,,,,Henneguya,Henneguya pellis
710,4,known_species,100.0,JN418589.1,good,Pinnularia viridiformis,,,,,,,Pinnularia,Pinnularia viridiformis
711,3,known_species,100.0,MH357100.1,good,Althepus languensis,Eukaryota,Opisthokonta,Arthropoda,Arachnida,,,Althepus,Althepus languensis
712,2,known_species,100.0,DQ534692.1,good,Suillus lakei,Eukaryota,Opisthokonta,Basidiomycota,Agaricomycetes,,,Suillus,Suillus lakei
713,3,known_species,100.0,KY922165.1,good,Chrysomelobia labidomerae,,,,,,,Chrysomelobia,Chrysomelobia labidomerae
714,2,known_species,100.0,FJ595495.2,good,Rhodospora sordida,Eukaryota,,Rhodophyta,,,,Rhodospora,Rhodospora sordida
715,2,known_species,100.0,AF069224.1,good,Goeppertia loeseneri,Eukaryota,Viridiplantae,Streptophyta,,,,Goeppertia,Goeppertia loeseneri
716,3,known_species,100.0,KF744071.1,good,Phacus claviformis,Eukaryota,Discoba,,,,,Phacus,Phacus claviformis
717,2,known_species,100.0,KM369053.1,good,Corallinales sp. Y_Twist-2019,Eukaryota,,Rhodophyta,Florideophyceae,,,Corallinales,Corallinales sp. Y_Twist-2019
718,2,known_species,100.0,JF903662.1,good,Syllis hyalina,Eukaryota,Opisthokonta,Annelida,Polychaeta,,,Syllis,Syllis hyalina
719,3,known_species,100.0,DQ022780.1,good,Euptilota molle,Eukaryota,,Rhodophyta,Florideophyceae,,,Euptilota,Euptilota molle
720,4,known_species,100.0,EF202886.1,good,Gambierdiscus toxicus,,,,,,,Gambierdiscus,Gambierdiscus toxicus
721,4,known_species,100.0,DQ079933.1,good,Onychognathia rhombocephala,Eukaryota,Opisthokonta,,,,,Onychognathia,Onychognathia rhombocephala
722,3,known_species,100.0,AY016348.1,good,Phaeotrichum benjaminii,Eukaryota,Opisthokonta,Ascomycota,Dothideomycetes,,,Phaeotrichum,Phaeotrichum benjaminii
723,2,known_species,100.0,AM774554.1,good,Caecella horsfieldi,Eukaryota,Opisthokonta,Mollusca,Bivalvia,,,Caecella,Caecella horsfieldi
724,5,known_species,100.0,KC529504.1,good,Canetellia beauchampi,Eukaryota,Opisthokonta,Platyhelminthes,,,,Canetellia,Canetellia beauchampi
725,4,known_species,100.0,KX896484.1,good,Mesochaetopterus sagittarius,Eukaryota,Opisthokonta,Annelida,Polychaeta,,,Mesochaetopterus,Mesochaetopterus sagittarius
726,5,known_species,100.0,MG253135.1,good,Isolda pulchella,Eukaryota,Opisthokonta,Annelida,Polychaeta,,,Isolda,Isolda pulchella
727,4,known_species,100.0,AM168100.1,good,Heterostelium filamentosum,Eukaryota,,Amoebozoa,,,,Heterostelium,Heterostelium filamentosum
728,2,known_species,100.0,AJ287541.1,good,Microphallus primas,Eukaryota,Opisthokonta,Platyhelminthes,Trematoda,,,Microphallus,Microphallus primas
729,5,known_species,100.0,HQ891249.1,good,Aphistogoniulus hova,Eukaryota,Opisthokonta,Arthropoda,,,,Aphistogoniulus,Aphistogoniulus hova
730,4,known_species,100.0,AF421770.1,good,Paragordionus rautheri,Eukaryota,Opisthokonta,,,,,Paragordionus,Paragordionus rautheri
731,2,known_species,100.0,JN170137.1,good,Asaphidion alaskanum,Eukaryota,Opisthokonta,Arthropoda,Insecta,Coleoptera,,Asaphidion,Asaphidion alaskanum
732,2,known_species,100.0,EU038079.1,good,Cornechiniscus lobatus,,,,,,,Cornechiniscus,Cornechiniscus lobatus
733,2,known_species,100.0,KY016320.1,good,Herennia multipuncta,Eukaryota,Opisthokonta,Arthropoda,Arachnida,,,Herennia,Herennia multipuncta
734,2,known_species,100.0,KP725748.1,good,Lissosabinea unispinosa,Eukaryota,Opisthokonta,Arthropoda,Malacostraca,Decapoda,,Lissosabinea,Lissosabinea unispinosa
735,3,known_species,100.0,KF182487.1,good,Paguristes puncticeps,Eukaryota,Opisthokonta,Arthropoda,Malacostraca,Decapoda,,Paguristes,Paguristes puncticeps
736,3,known_species,100.0,KX713311.1,good,Martesia striata,,,,,,,Martesia,Martesia striata
737,4,known_species,100.0,AB361443.1,good,Mylonchulus oceanicus,Eukaryota,Opisthokonta,Nematoda,,,,Mylonchulus,Mylonchulus oceanicus
738,3,known_species,100.0,JQ918368.1,good,Discotricha papillifera,Eukaryota,,Sar,Intramacronucleata,,,Discotricha,Discotricha papillifera
739,3,known_species,100.0,AB365304.1,good,Hiloa variabilis,Eukaryota,Opisthokonta,Mollusca,Gastropoda,,,Hiloa,Hiloa variabilis
740,3,known_species,100.0,KC512929.1,good,Ankothrips yuccae,Eukaryota,Opisthokonta,Arthropoda,Insecta,,,Ankothrips,Ankothrips yuccae
741,4,known_species,100.0,HM748759.1,good,Lacusteria cypriaca,Eukaryota,Metamonada,,,,,Lacusteria,Lacusteria cypriaca
742,4,known_species,100.0,JX560856.1,good,Nirmala odelli,Eukaryota,Opisthokonta,Arthropoda,Insecta,Coleoptera,,Nirmala,Nirmala odelli
743,3,known_species,100.0,JF893943.1,good,Tennysonia stellata,Eukaryota,Opisthokonta,Bryozoa,,,,Tennysonia,Tennysonia stellata
744,3,known_species,100.0,KC902171.1,good,Oceanapia isodictyiformis,Eukaryota,Opisthokonta,Porifera,,,,Oceanapia,Oceanapia isodictyiformis
745,2,known_species,100.0,AF342743.1,good,Nemalionopsis tortuosa,Eukaryota,,Rhodophyta,Florideophyceae,,,Nemalionopsis,Nemalionopsis tortuosa
746,2,known_species,100.0,AB530163.1,good,Triadinium caudatum,,,,,,,Triadinium,Triadinium caudatum
747,2,known_species,100.0,KY054974.1,good,Navicula gregaria,,,,,,,Navicula,Navicula gregaria
748,2,known_species,100.0,DQ646534.1,good,Marcelleina persoonii,Eukaryota,Opisthokonta,Ascomycota,,,,Marcelleina,Marcelleina persoonii
749,3,known_species,100.0,KJ461221.1,good,Megalotomus ornaticeps,Eukaryota,Opisthokonta,Arthropoda,Insecta,Hemiptera,,Megalotomus,Megalotomus ornaticeps
750,5,known_species,100.0,AB501318.1,good,Oxynoe viridis,Eukaryota,Opisthokonta,Mollusca,Gastropoda,,,Oxynoe,Oxynoe viridis
751,4,known_species,100.0,AM422481.1,good,Boreomysis arctica,Eukaryota,Opisthokonta,Arthropoda,Malacostraca,,,Boreomysis,Boreomysis arctica
752,3,known_species,100.0,KJ736741.1,good,Gregarina ormierei,Eukaryota,,Sar,,,,Gregarina,Gregarina ormierei
753,2,known_species,100.0,EF151979.1,good,Sellaphora laevissima,Eukaryota,,Sar,,,,Sellaphora,Sellaphora laevissima
754,3,known_species,100.0,AY620919.1,good,Microgynium incisum,Eukaryota,Opisthokonta,Arthropoda,Arachnida,,,Microgynium,Microgynium incisum
755,4,known_species,100.0,EU267802.1,good,Andracantha gravida,Eukaryota,Opisthokonta,,,,,Andracantha,Andracantha gravida
756,2,known_species,100.0,AB017897.1,good,Starmera amethionina,Eukaryota,Opisthokonta,Ascomycota,,,,Starmera,Starmera amethionina
757,2,known_species,100.0,GQ292767.1,good,Paratetrahymena wassi,Eukaryota,,Sar,Intramacronucleata,,,Paratetrahymena,Paratetrahymena wassi
758,3,known_species,100.0,AJ549232.1,good,Tortitaenia obscura,Eukaryota,Viridiplantae,Streptophyta,,,,Tortitaenia,Tortitaenia obscura
759,3,known_species,100.0,MG988589.1,good,Craspedolepta nebulosa,Eukaryota,Opisthokonta,Arthropoda,Insecta,Hemiptera,,Craspedolepta,Craspedolepta nebulosa
760,3,known_species,100.0,KT599479.1,good,Bursaphelenchus chengi,Eukaryota,Opisthokonta,Nematoda,,,,Bursaphelenchus,Bursaphelenchus chengi
761,3,known_species,100.0,AY527061.1,good,Boccardiella ligerica,Eukaryota,Opisthokonta,Annelida,Polychaeta,,,Boccardiella,Boccardiella ligerica
762,2,known_species,100.0,MH198179.1,good,Damaeobelba minutissima,Eukaryota,Opisthokonta,Arthropoda,Arachnida,,,Damaeobelba,Damaeobelba minutissima
763,2,known_species,100.0,EF650117.1,good,Hoplistomerus nobilis,Eukaryota,Opisthokonta,Arthropoda,Insecta,Diptera,,Hoplistomerus,Hoplistomerus nobilis
764,2,known_species,100.0,MG988596.1,good,Homotoma ficus,Eukaryota,Opisthokonta,Arthropoda,Insecta,Hemiptera,,Homotoma,Homotoma ficus
765,2,known_species,100.0,JN974017.1,good,Aspergillus niger,,,,,,,Aspergillus,Aspergillus niger
766,3,known_species,100.0,HQ231344.1,good,Paracatenula galateia,Eukaryota,Opisthokonta,Platyhelminthes,,,,Paracatenula,Paracatenula galateia
767,4,known_species,100.0,KC177316.1,good,Exorista larvarum,Eukaryota,Opisthokonta,Arthropoda,Insecta,Diptera,,Exorista,Exorista larvarum
768,2,known_species,100.0,AY642525.1,good,Paraphaeosphaeria minitans,Eukaryota,Opisthokonta,Ascomycota,Dothideomycetes,,,Paraphaeosphaeria,Paraphaeosphaeria minitans
769,3,known_species,100.0,AY624288.2,good,Pseudomma frigidum,Eukaryota,Opisthokonta,Arthropoda,Malacostraca,,,Pseudomma,Pseudomma frigidum
770,2,known_species,100.0,AJ287578.1,good,Steringophorus margolisi,Eukaryota,Opisthokonta,Platyhelminthes,Trematoda,,,Steringophorus,Steringophorus margolisi
771,3,known_species,100.0,KY922170.1,good,Pseudopygmephorellus mazandaranicus,Eukaryota,Opisthokonta,Arthropoda,Arachnida,,,Pseudopygmephorellus,Pseudopygmephorellus mazandaranicus
772,3,known_species,100.0,HQ585897.1,good,Neocallimastix frontalis,,,,,,,Neocallimastix,Neocallimastix frontalis
773,2,known_species,100.0,KF207866.1,good,Viridiraptor invadens,Eukaryota,,Sar,,,,Viridiraptor,Viridiraptor invadens
774,2,known_species,100.0,EU414437.1,good,Iais pubescens,Eukaryota,Opisthokonta,Arthropoda,Malacostraca,Isopoda,,Iais,Iais pubescens
775,2,known_species,100.0,AB934911.1,good,Kliecope mihoensis,Eukaryota,Opisthokonta,Arthropoda,,,,Kliecope,Kliecope mihoensis
776,4,known_species,100.0,DQ288289.1,good,Nitzschia palea,Eukaryota,,Sar,,,,Nitzschia,Nitzschia palea
777,2,known_species,100.0,KY495677.1,good,Calliphara nobilis,Eukaryota,Opisthokonta,Arthropoda,Insecta,Hemiptera,,Calliphara,Calliphara nobilis
778,2,known_species,100.0,AY421779.1,good,Margalefidinium polykrikoides,Eukaryota,,Sar,,,,Margalefidinium,Margalefidinium polykrikoides
779,3,known_species,100.0,JN170154.1,good,Bembidion biguttatum,Eukaryota,Opisthokonta,Arthropoda,Insecta,Coleoptera,,Bembidion,Bembidion biguttatum
780,3,known_species,100.0,EF428128.1,good,Tetrahymena tropicalis,Eukaryota,,Sar,Intramacronucleata,,,Tetrahymena,Tetrahymena tropicalis
781,2,known_species,100.0,KP698204.1,good,Urceolaria parakorschelti,Eukaryota,,Sar,Intramacronucleata,,,Urceolaria,Urceolaria parakorschelti
782,2,known_species,100.0,AY842018.1,good,Novocrania anomala,Eukaryota,Opisthokonta,Brachiopoda,,,,Novocrania,Novocrania anomala
783,2,known_species,100.0,MG890588.1,good,Pleuronichthys cornutus,,,,,,,Pleuronichthys,Pleuronichthys cornutus
784,3,known_species,100.0,AF278745.1,good,Coleochaete sieminskiana,Eukaryota,Viridiplantae,Streptophyta,,,,Coleochaete,Coleochaete sieminskiana
785,3,known_species,100.0,KT439338.1,good,Calliblepharis psammophilus,Eukaryota,,Rhodophyta,Florideophyceae,,,Calliblepharis,Calliblepharis psammophilus
786,2,known_species,100.0,AY121131.1,good,Doru spiculiferum,Eukaryota,Opisthokonta,Arthropoda,Insecta,,,Doru,Doru spiculiferum
787,2,known_species,100.0,KU728177.1,good,Sorodiplophrys stercorea,Eukaryota,,Sar,,,,Sorodiplophrys,Sorodiplophrys stercorea
788,3,known_species,100.0,JX402096.1,good,Megadrilus hochbergi,Eukaryota,Opisthokonta,Annelida,Polychaeta,,,Megadrilus,Megadrilus hochbergi
789,3,known_species,100.0,U80061.1,good,Naegleria jamiesoni,Eukaryota,Discoba,,,,,Naegleria,Naegleria jamiesoni
790,5,known_species,100.0,X70809.1,good,Chlorarachnion reptans,,,,,,,Chlorarachnion,Chlorarachnion reptans
791,2,known_species,100.0,KY823446.1,good,Laetmonice hystrix,Eukaryota,Opisthokonta,Annelida,Polychaeta,,,Laetmonice,Laetmonice hystrix
